name,location,holes,course_type
Bay Course at Marriott's Seaview Country Club Resort,"Absecon, NJ",36,Resort
Galloway National Golf Club,"Absecon, NJ",18,Private
Pomona Golf Course,"Absecon, NJ",9,Semi-private
Montammy Golf Club,"Alpine, NJ",18,Private
Tamcrest Country Club,"Alpine, NJ",9,Public
Beaver Brook Country Club,"Annandale, NJ",18,Semi-private
Beacon Hill Country Club,"Atlantic Highlands, NJ",18,Private
Ocean County Golf Course at Atlantis,"Barnegat, NJ",18,Public
Basking Ridge Country Club,"Basking Ridge, NJ",18,Private
New Jersey National Golf Club,"Basking Ridge, NJ",18,Private
Cedar Creek Golf Course,"Bayville, NJ",18,Public
"Trump National Golf Club, Bedminster","Bedminster, NJ",18,Private
"Mattawang Golf Club, The","Belle Mead, NJ",18,Semi-private
Hendricks Field Golf Course,"Belleville, NJ",18,Public
Executive Course at Bel-Aire Golf Club,"Belmar, NJ",27,Public
Apple Mountain Golf & Country Club,"Belvidere, NJ",18,Public
Somerset Hills Country Club,"Bernardsville, NJ",18,Private
Valleybrook Golf Club,"Blackwood, NJ",18,Public
Washington Township Municipal Golf Course,"Blackwood, NJ",9,Public
Blair Academy Golf Course,"Blairstown, NJ",9,Semi-private
Forest Hill Field Club,"Bloomfield, NJ",18,Private
"Knoll Golf Club, The","Boonton, NJ",18,Public
Culver Lake Golf Course,"Branchville, NJ",9,Public
Ocean County Golf Course at Forge Pond,"Brick Township, NJ",18,Public
Cohanzick Country Club,"Bridgeton, NJ",18,Semi-private
Holly Hills Golf Club,"Bridgeton, NJ",18,Semi-private
Green Knoll Golf Course,"Bridgewater Township, NJ",18,Public
Manasquan River Golf Club,"Brielle, NJ",18,Private
Brigantine Golf Links,"Brigantine, NJ",18,Semi-Private
"Links At Brigantine Beach, The","Brigantine, NJ",18,Semi-private
Buena Vista Country Club,"Buena, NJ",18,Public
Buena Vista Country Club,"Buena, NJ",18,Public
Latona Country Club,"Buena, NJ",9,Public
Avalon Golf Club,"Cape May Court House, NJ",18,Semi-private
"North/South Course at Sand Barrens Golf Club, The","Cape May Court House, NJ",54,Semi-private
Stone Harbor Golf Club,"Cape May Court House, NJ",18,Private
Wildwood Golf & Country Club,"Cape May Court House, NJ",18,Private
Sakima Country Club,"Carneys Point, NJ",9,Private
Fairmount Country Club,"Chatham, NJ",18,Private
Merchantville Country Club,"Cherry Hill, NJ",9,Private
Woodcrest Country Club,"Cherry Hill, NJ",18,Private
Hyatt Hills Golf Course,"Clark, NJ",9,Public
Oak Ridge Golf Course,"Clark, NJ",18,Public
Pine Valley Course at Pine Valley Golf Club,"Clementon, NJ",9,Private
The East/West Course at Upper Montclair Country Club,"Clifton, NJ",27,Private
Beaver Brook Country Club,"Clinton, NJ",18,Semi-Private
Colonia Country Club,"Colonia, NJ",18,Private
Colonia Country Club,"Colonia, NJ",18,Private
Colts Neck Golf Club,"Colts Neck, NJ",18,Semi-private
Due Process Stable,"Colts Neck, NJ",18,Private
Hominy Hill Golf Course,"Colts Neck, NJ",18,Public
Pebble Creek Golf Club,"Colts Neck, NJ",18,Public
Olde York Country Club,"Columbus, NJ",18,Private
Cream Ridge Golf Club,"Cream Ridge, NJ",18,Semi-private
Gambler Ridge Golf Club,"Cream Ridge, NJ",18,Public
Tamcrest Country Club,"Cresskill, NJ",9,Public
Deal Golf & Country Club,"Deal, NJ",18,Private
Alpine Country Club,"Demarest, NJ",18,Private
Peace Pipe Golf Club,"Denville, NJ",9,Private
Rockaway River Country Club,"Denville, NJ",18,Private
West Course at Tamarack Golf Course,"East Brunswick, NJ",36,Public
Old Orchard Country Club,"Eatontown, NJ",18,Semi-private
Suneagles Golf Course,"Eatontown, NJ",18,Military
Metuchen Golf & Country Club,"Edison, NJ",18,Private
East Course at Blue Heron Pines Golf Club,"Egg Harbor City, NJ",36,Public
Green Tree Golf Course,"Egg Harbor Township, NJ",18,Public
Hamilton Trails Country Club,"Egg Harbor Township, NJ",9,Public
Harbor Pines Golf Club,"Egg Harbor Township, NJ",18,Public
Hidden Creek Golf Club,"Egg Harbor Township, NJ",18,Private
McCullough's Emerald Golf Links,"Egg Harbor Township, NJ",18,Public
Twisted Dune Golf Club,"Egg Harbor Township, NJ",27,Public
Centerton Golf Club,"Elmer, NJ",18,Semi-private
Emerson Golf Club,"Emerson, NJ",18,Public
Knob Hill Golf Course,"Englishtown, NJ",18,Semi-private
Cape May National Golf Club,"Erma, NJ",18,Semi-Private
Essex Fells Country Club,"Essex Fells, NJ",18,Private
Mountain View Golf Course,"Ewing, NJ",18,Public
Forest Course at Fiddler's Elbow Country Club,"Far Hills, NJ",54,Private
Cruz Golf Country Club,"Farmingdale, NJ",18,Public
Eagle Oaks Golf Club,"Farmingdale, NJ",18,Private
Howell Park Golf Course,"Farmingdale, NJ",18,Public
Spring Meadow Golf Course,"Farmingdale, NJ",18,Public
Red/Gold Course at Flanders Valley Golf Club,"Flanders, NJ",36,Public
Hillsborough Country Club,"Flemington, NJ",18,Semi-private
Brooklake Country Club,"Florham Park, NJ",18,Private
Pinch Brook Golf Course,"Florham Park, NJ",18,Public
Fountain Green Golf Course,"Fort Dix, NJ",18,Military
Black Bear Golf Club,"Franklin, NJ",18,Public
Walkill Country Club,"Franklin, NJ",9,Private
High Mountain Golf Club,"Franklin Lakes, NJ",18,Semi-private
Hickory Course at Hamilton Farm Golf Club,"Gladstone, NJ",36,Private
Glen Ridge Country Club,"Glen Ridge, NJ",18,Private
Minebrook Golf Club,"Hackettstown, NJ",18,Public
Panther Valley Golf & Country Club,"Hackettstown, NJ",18,Private
Tavistock Country Club,"Haddonfield, NJ",18,Private
Ballyowen Golf Club,"Hamburg, NJ",18,Public
Wild Turkey Golf Club,"Hamburg, NJ",18,Public
Frog Rock Golf & Country Club,"Hammonton, NJ",18,Public
Frog Rock Golf & Country Club,"Hammonton, NJ",18,Public
Pinelands Golf Course,"Hammonton, NJ",18,Public
Haworth Golf Club,"Haworth, NJ",18,Private
White Beeches Golf & Country Club,"Haworth, NJ",18,Private
High Bridge Hills Golf Club,"High Bridge, NJ",18,Public
Concordia Golf Club,"Hightstown, NJ",18,Private
Peddie School Golf Course,"Hightstown, NJ",18,Private
East Course at Royce Brook Golf Club,"Hillsborough, NJ",36,Semi-private
Hopewell Valley Golf Club,"Hopewell, NJ",18,Private
Stonybrook Golf Club,"Hopewell, NJ",18,Public
Back/Third Course at Metedeconk National Golf Club,"Jackson, NJ",27,Private
Pine Barrens,"Jackson, NJ",18,Semi-Private
Westlake Golf & Country Club,"Jackson, NJ",18,Private
Club/Valley Course at Farmstead Golf & Country Club,"Lafayette, NJ",1960,Semi-private
Pine Ridge Golf Course,"Lakehurst, NJ",9,Military
Eagle Ridge Golf Club,"Lakewood, NJ",18,Semi-private
Lakewood Country Club,"Lakewood, NJ",18,Semi-Private
Woodlake Golf & Country Club,"Lakewood, NJ",18,Private
Greenacres Country Club,"Lawrenceville, NJ",18,Private
"Lawrenceville School Golf Course, The","Lawrenceville, NJ",9,Private
Hidden Acres Golf Course,"Layton, NJ",9,Public
Deer Run Golf Club,"Lincoln Park, NJ",9,Private
Meadows Golf Course,"Lincoln Park, NJ",18,Public
Blue/Red Course at Bamm Hollow Country Club,"Lincroft, NJ",27,Private
Linwood Country Club,"Linwood, NJ",18,Private
Cedar Hill Golf & Country Club,"Livingston, NJ",18,Private
Coakley-Russo Memorial Golf Course,"Lyons, NJ",9,Private
North Course at Charleston Springs Golf Course,"MILLSTONE TWP, NJ",36,Public
Madison Golf Club,"Madison, NJ",9,Private
Apple Ridge Country Club,"Mahwah, NJ",18,Private
Darlington Golf Course,"Mahwah, NJ",18,Public
Ocean Acres Country Club,"Manahawkin, NJ",18,Semi-private
Battleground Country Club,"Manalapan, NJ",18,Private
Pine Brook Golf Course,"Manalapan, NJ",18,Public
Renaissance Golf Course,"Manchester Township, NJ",18,Private
Maplewood Country Club,"Maplewood, NJ",18,Private
Marlboro Country Club,"Marlboro, NJ",18,Private
Blue/Red Course at Little Mill Country Club,"Marlton, NJ",27,Private
Indian Spring Golf Club,"Marlton, NJ",18,Public
Links Golf Club,"Marlton, NJ",18,Private
B. L. England Recreation Center & Golf Course,"Marmora, NJ",9,Public
Greate Bay Golf Club,"Mays Landing, NJ",18,Private
Hamilton Trails Golf Club,"Mays Landing, NJ",9,Public
Mays Landing Golf Club,"Mays Landing, NJ",18,Public
"Spa Golf Club, The","McAfee, NJ",9,Public
Golden Pheasant Golf Club,"Medford, NJ",18,Semi-private
Medford Village Resort & Country Club,"Medford, NJ",18,Private
Medford Lakes Country Club,"Medford Lakes, NJ",18,Private
Mendham Golf & Tennis Club,"Mendham, NJ",18,Private
Roxiticus Golf Club,"Mendham, NJ",18,Private
Oak Hill Golf Club,"Milford, NJ",18,Private
Scotland Run Golf Club,"Monroe, NJ",18,Public
Clearbrook Golf Club,"Monroe Township, NJ",9,Private
Greenbrier at Whittingham,"Monroe Township, NJ",9,Private
"Regency At Monroe Golf & Country Club, The","Monroe Township, NJ",18,Private
The Banks Course at Forsgate Country Club,"Monroe Township, NJ",36,Private
